OBJECTID,parkName,altPrkName,parkAddr,addressFull,prkAcreage,bcrpPark,parkOprtr,parkClass,ctyOwndPrk,bcrpAmnty,parkDstrct,cnclDstrct,policeDstrct,lgsltvDstrct,friendsGroup,Shape__Area,Shape__Length,perTreeCover18,perGreenSpace18,perUndvlpEst18,undvlpAcreage18,siteID
72,Fort Holabird Park,Cimaglia Park,6401 Beckley St,"6401 BECKLEY ST, BALTIMORE, MD, 21224",45.8035222018322,Y,BCRP,Citywide Park,Y,,Patterson,1,Southeastern,46,Unknown,1995209.40740967,12859.011562746,45.2962154231709,89.6203843794788,39.3127160372286,18.0067526718445,P72
73,Fox Street Park, ,310 W 28th St,"310 WEST 28TH ST, BALTIMORE, MD, 21211",0.0461021823979711,Y,BCRP,Green Space,Y,,Druid Hill,14,Northern,43,Unknown,2008.21899414063,192.490330329556,0.145461639173359,65.7583572421111,,,P73
74,Francis X. Gallagher Park, ,3350 Dulany St,"3350 DULANY ST, BALTIMORE, MD, 21229",2.6074202599285,Y,BCRP,Green Space,Y,,Carroll,"9,10",Southwestern,41,Unknown,113579.680725098,1377.47380631561,94.239126269469,98.7521196310792,76.5736694593112,1.9966133441116,P74
75,Franklin Square Park, ,1301 W Lexington St,"1301 WEST LEXINGTON ST, BALTIMORE, MD, 21223",2.94031754021423,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,9,Southwestern,40,Unknown,128080.744262695,1415.62726508827,49.7353088115519,82.0949799191763,73.8817995517831,2.17237689020998,P75
76,Garrett Park, ,3560 3rd St,"3560 3RD ST, BALTIMORE, MD, 21225",7.79878543995354,Y,BCRP,Neighborhood Park,Y,,Carroll,10,Southern,46,Yes,339716.452880859,2375.77705914561,18.6017118140403,85.5142724081436,3.76151604295185,0.293354912311503,P76
77,Gateway Park, ,101 Key Hwy,"101 KEY HWY, BALTIMORE, MD, 21230",0.617336133190519,Y,BCRP,Green Space,Y,,Carroll,11,Central,46,Unknown,26891.26953125,827.911456190194,23.1806097566626,78.1440747102479,1.74481595117931,0.0107714654957672,P77
78,Greenspring Avenue Park, ,2336 Druid Park Dr,"2336 DRUID PARK DR, BALTIMORE, MD, 21215",8.15455766736287,Y,BCRP,Forest,Y,,Druid Hill,6,Northern,40,Unknown,355213.952636719,3281.42647854947,98.1368571385048,99.8606871596573,91.2508204669399,7.44116030602224,P78
79,Ridgley's Cove,Gwynns Falls Trail South,2100 Haines St,"2100 HAINES ST, BALTIMORE, MD, 21230",10.2312897691089,Y,BCRP,Green Space,Y,,Carroll,10,Southern,46,Unknown,445676.764526367,6697.863118296,55.210058031724,92.2141543011877,53.7529423449028,5.49966328790335,P79
80,Hadley Square Park, ,5 E 39th St,"5 EAST 39TH ST, BALTIMORE, MD, 21218",0.701072590048321,Y,BCRP,Green Space,Y,,Clifton,14,Northern,43,Unknown,30538.8444213867,1154.28832258621,50.2110327746303,97.8125254246009,27.686678869086,0.19410526948336,P80
81,Hanlon Park, ,2731 N Longwood St,"2731 NORTH LONGWOOD ST, BALTIMORE, MD, 21216",85.2417599194792,Y,BCRP,Citywide Park,Y,,Gwynns Falls,7,Northwestern,40,Unknown,3713145.91491699,10424.4167660131,32.4025270349403,97.5648560703454,60.5797959213222,51.6396973153031,P81
82,Harlem & Dennison Park, ,3421 Harlem Ave,"3421 HARLEM AVE, BALTIMORE, MD, 21229",0.646040438914988,Y,BCRP,Green Space,Y,,Gwynns Falls,8,Southwestern,41,Unknown,28141.6340942383,735.656922063711,13.6832418349821,81.5083185256074,17.9013803068506,0.115651081112092,P82
83,Harlem Inner Block Park A 84,Harlem Inner Block Parks,1808 1/2 W Lanvale St,"1808 1/2 WEST LANVALE ST, BALTIMORE, MD, 21217",0.220000262460683,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,9583.24969482422,699.086745745337,61.5002112072185,76.3574978713389,3.01970740554848,0.00664341736493079,P83
84,Harlem Inner Block Park D 87,Harlem Inner Block Parks,1511 W Lafayette Ave,"1511 WEST LAFAYETTE AVE, BALTIMORE, MD, 21217",0.292646239027075,Y,BCRP,Mini Park,Y,,Gwynns Falls,9,Western,40,Unknown,12747.7210693359,437.306280074041,26.3653451622499,90.413187432111,64.7233011042134,0.189411821745678,P84
85,Harlem Inner Block Park F 90,Harlem Inner Block Parks,1215 W Lafayette Ave,"1215 WEST LAFAYETTE AVE, BALTIMORE, MD, 21217",0.248045938236491,Y,BCRP,Mini Park,Y,,Gwynns Falls,9,Western,40,Unknown,10804.9243774414,753.190869940207,76.3230941783608,94.5854299606247,55.929624174239,0.138732270889972,P85
86,Harlem Inner Block Park H 96,Harlem Inner Block Parks,1801 W Lanvale St,"1801 WEST LANVALE ST, BALTIMORE, MD, 21217",0.245918407865151,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,10712.2484741211,825.999517712968,56.800483166682,66.8416215897225,0.103468673209906,0.000254450549395285,P86
